Applicant_ID,Gender,Age,Income,Credit_Score,ZIP_Code,Employment_Status,Loan_Amount,Loan_Status
APP-001,Male,34,55000,720,90210,Employed,15000,Approved
APP-002,Female,29,42000,680,90210,Employed,12000,Approved
APP-003,Female,45,35000,610,90210,Unemployed,10000,Denied
APP-004,Male,52,78000,750,90210,Employed,25000,Approved
APP-005,Female,31,31000,590,90210,Part-Time,8000,Denied
APP-006,Male,26,48000,690,10001,Employed,14000,Approved
APP-007,Female,38,38000,640,10001,Employed,11000,Denied
APP-008,Male,41,62000,710,10001,Employed,18000,Approved
APP-009,Female,55,95000,780,10001,Employed,30000,Approved
APP-010,Male,33,29000,580,10001,Unemployed,7000,Denied
APP-011,Female,42,50000,700,90210,Employed,16000,Approved
APP-012,Male,37,85000,760,90210,Employed,28000,Approved
APP-013,Female,28,32000,630,90210,Employed,9000,Denied
APP-014,Male,49,60000,710,10001,Employed,20000,Approved
APP-015,Female,36,44000,670,10001,Employed,13000,Approved
APP-016,Male,30,52000,690,10001,Employed,15000,Approved
APP-017,Female,47,33000,600,10001,Unemployed,10000,Denied
APP-018,Male,58,90000,770,90210,Employed,35000,Approved
APP-019,Female,33,46000,680,90210,Employed,14000,Approved
APP-020,Male,25,36000,620,90210,Part-Time,11000,Denied
